Trip Start Timestamp,Pickup Community Area,Dropoff Community Area,Trip Total
4/7/2016 0:00,32,22,22.25
4/7/2016 0:00,7,8,9.75
4/7/2016 0:00,32,32,3.5
4/7/2016 0:00,32,32,9.5
4/7/2016 0:00,32,8,15
4/7/2016 0:00,22,28,17.25
4/7/2016 0:00,28,7,16.25
4/7/2016 0:00,28,8,9
4/7/2016 0:00,32,24,12.3
4/7/2016 0:00,8,25,18.75
4/7/2016 0:00,7,1,26.4
4/7/2016 0:00,32,28,11.5
4/7/2016 0:00,8,8,13.2
4/7/2016 0:00,28,7,15.75
4/7/2016 0:00,8,8,8.5
4/7/2016 0:00,8,8,8
4/7/2016 0:00,8,8,5
4/7/2016 0:00,28,5,17.5
4/7/2016 0:00,8,8,4.75
4/7/2016 0:00,28,7,10.75
4/7/2016 0:00,8,33,10.5
4/7/2016 0:00,56,8,35.75
4/7/2016 0:00,35,35,3.25
4/7/2016 0:00,8,24,12
4/7/2016 0:00,8,8,9.75
4/7/2016 0:00,28,32,10
4/7/2016 0:00,32,31,10.5
4/7/2016 0:00,8,8,11.5
4/7/2016 0:00,56,24,41.7
4/7/2016 0:00,32,7,15.3
4/7/2016 0:00,8,24,17.15
4/7/2016 0:00,32,24,14.7
4/7/2016 0:00,32,4,25.75
4/7/2016 0:00,32,24,8.5
4/7/2016 0:00,1,4,8.75
4/7/2016 0:00,28,28,4
4/7/2016 0:00,28,8,10.75
4/7/2016 0:00,7,8,13.5
4/7/2016 0:00,28,43,30.75
4/7/2016 0:00,56,12,66.6
4/7/2016 0:00,23,24,8.75
4/7/2016 0:00,32,28,7.25
4/7/2016 0:00,32,32,5
4/7/2016 0:00,28,32,9.25
4/7/2016 0:00,7,28,11.75
4/7/2016 0:00,32,3,19.25
4/7/2016 0:00,8,6,19.8
4/7/2016 0:00,8,77,21
4/7/2016 0:00,7,33,16
4/7/2016 0:00,32,8,6.75
4/7/2016 0:00,32,8,9
4/7/2016 0:00,2,2,7
4/7/2016 0:00,8,41,31
4/7/2016 0:00,56,24,43.2
4/7/2016 0:00,22,22,4.75
4/7/2016 0:00,32,40,21.5
4/7/2016 0:00,8,8,27.9
4/7/2016 0:00,28,8,13.25
4/7/2016 0:00,6,32,21.6
4/7/2016 0:00,32,24,14.75
4/7/2016 0:00,8,8,6
4/7/2016 0:00,24,24,9.75
4/7/2016 0:00,76,8,58.8
4/7/2016 0:00,28,32,9.5
4/7/2016 0:00,8,3,16
4/7/2016 0:00,32,32,8
4/7/2016 0:00,28,6,22
4/7/2016 0:00,8,8,9
4/7/2016 0:00,28,32,7.25
4/7/2016 0:00,28,32,6.75
4/7/2016 0:00,32,8,8.75
4/7/2016 0:00,8,8,7.5
4/7/2016 0:00,28,6,17
4/7/2016 0:00,28,3,31.2
4/7/2016 0:00,8,28,10.25
4/7/2016 0:00,8,14,31.25
4/7/2016 0:00,8,7,9.5
4/7/2016 0:00,76,7,47.7
4/7/2016 0:00,8,1,39
4/7/2016 0:00,28,8,10
4/7/2016 0:00,28,28,11.5
4/7/2016 0:00,32,6,17
4/7/2016 0:00,8,32,13.75
4/7/2016 0:00,28,8,17.4
4/7/2016 0:00,8,8,8.5
4/7/2016 0:00,32,24,9.75
4/7/2016 0:00,28,8,11
4/7/2016 0:00,8,28,4.75
4/7/2016 0:00,32,6,18.75
4/7/2016 0:00,32,8,8.5
4/7/2016 0:00,6,6,4.5
4/7/2016 0:00,7,6,9.75
4/7/2016 0:00,32,32,9
4/7/2016 0:00,24,8,8.25
4/7/2016 0:00,6,22,15
4/7/2016 0:00,32,32,5.5
4/7/2016 0:00,32,8,8.5
4/7/2016 0:00,22,8,18.3
4/7/2016 0:00,32,28,11.5
4/7/2016 0:00,28,28,9.25
4/7/2016 0:00,32,4,31.55
4/7/2016 0:00,32,8,10
4/7/2016 0:00,32,24,11.75
4/7/2016 0:00,28,33,8.5
4/7/2016 0:00,32,4,27.5
4/7/2016 0:00,28,32,11.75
4/7/2016 0:00,76,76,78.5
4/7/2016 0:00,7,77,23
4/7/2016 0:00,32,8,8
4/7/2016 0:00,8,33,13.25
4/7/2016 0:00,8,28,8.25
4/7/2016 0:00,43,44,13.5
4/7/2016 0:00,32,28,8.75
4/7/2016 0:00,32,6,17
4/7/2016 0:00,28,8,11
4/7/2016 0:00,32,6,17
4/7/2016 0:00,32,33,7.25
4/7/2016 0:00,8,6,14.25
4/7/2016 0:00,32,6,18.25
4/7/2016 0:00,7,32,15.75
4/7/2016 0:00,8,24,5.5
4/7/2016 0:00,28,22,18.75
4/7/2016 0:00,7,24,12
4/7/2016 0:00,28,8,14.25
4/7/2016 0:00,32,8,6.25
4/7/2016 0:00,32,31,15.9
4/7/2016 0:00,28,32,9.25
4/7/2016 0:00,8,8,5.75
4/7/2016 0:00,28,22,15.3
4/7/2016 0:00,32,6,22.8
4/7/2016 0:00,28,8,13
4/7/2016 0:00,10,2,17
4/7/2016 0:00,28,8,10
4/7/2016 0:00,7,7,5.75
4/7/2016 0:00,32,6,19.25
4/7/2016 0:00,32,8,11.5
4/7/2016 0:00,7,6,7.5
4/7/2016 0:00,32,7,16.25
4/7/2016 0:00,32,27,14
4/7/2016 0:00,28,8,12.25
4/7/2016 0:00,7,32,11.25
4/7/2016 0:00,28,6,19.8
4/7/2016 0:00,8,32,28.5
4/7/2016 0:00,7,32,11
4/7/2016 0:00,7,22,12
4/7/2016 0:00,8,6,14.1
4/7/2016 0:00,28,32,10
4/7/2016 0:00,8,28,5.75
4/7/2016 0:00,5,4,8.5
4/7/2016 0:00,28,69,25.5
4/7/2016 0:00,7,3,13.8
4/7/2016 0:00,32,8,10.5
4/7/2016 0:00,32,24,13.5
4/7/2016 0:00,6,7,4
4/7/2016 0:00,8,8,8
4/7/2016 0:00,28,33,13.5
4/7/2016 0:00,8,8,47.1
4/7/2016 0:00,28,24,16.2
4/7/2016 0:00,32,60,17.1
4/7/2016 0:00,8,28,10.45
4/7/2016 0:00,8,24,13.5
4/7/2016 0:00,28,28,6.75
4/7/2016 0:00,56,6,53.48
4/7/2016 0:00,28,24,6.25
4/7/2016 0:00,28,8,7.75
4/7/2016 0:00,32,6,18.75
4/7/2016 0:00,32,60,12.75
4/7/2016 0:00,8,28,17.7
4/7/2016 0:00,8,32,7.75
4/7/2016 0:00,24,22,5.25
4/7/2016 0:00,5,6,6.5
4/7/2016 0:00,8,3,18.75
4/7/2016 0:00,76,8,58.13
4/7/2016 0:00,8,3,16.39
4/7/2016 0:00,24,22,8.25
4/7/2016 0:00,32,64,40.2
4/7/2016 0:00,8,5,13.5
4/7/2016 0:00,5,4,5.75
4/7/2016 0:00,76,14,38.44
4/7/2016 0:00,8,8,5
4/7/2016 0:00,28,24,9.25
4/7/2016 0:00,76,6,38.75
4/7/2016 0:00,24,1,29.61
4/7/2016 0:00,8,77,20
4/7/2016 0:00,24,32,11.5
4/7/2016 0:00,8,32,9
4/7/2016 0:00,77,77,7
4/7/2016 0:00,4,4,7.25
4/7/2016 0:00,77,3,5.75
4/7/2016 0:00,76,32,52
4/7/2016 0:00,32,24,12
4/7/2016 0:00,8,8,4.5
4/7/2016 0:00,76,76,8.25
4/7/2016 0:00,28,24,13
4/7/2016 0:00,24,24,3.75
4/7/2016 0:00,8,32,6.25
4/7/2016 0:00,8,8,6
4/7/2016 0:00,3,3,4.5
